case_id,harness,session_model,session_effort,condition,run_n,dispatched,dispatch_models,dispatch_efforts,main_in_tokens,main_out_tokens,main_cached_tokens,est_cost_usd,wall_seconds,passed_acceptance,followups_needed,notes,status,evidence
E01,claude-code,,high,baseline,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E01,claude-code,,high,baseline,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E01,claude-code,,high,skill,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E01,claude-code,,high,skill,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E02,claude-code,,high,baseline,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E02,claude-code,,high,baseline,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E02,claude-code,,high,skill,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E02,claude-code,,high,skill,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E05,claude-code,,high,baseline,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E05,claude-code,,high,baseline,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E05,claude-code,,high,skill,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E05,claude-code,,high,skill,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E09,claude-code,,high,baseline,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E09,claude-code,,high,baseline,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E09,claude-code,,high,skill,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E09,claude-code,,high,skill,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E12,claude-code,,high,baseline,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E12,claude-code,,high,baseline,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E12,claude-code,,high,skill,1,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
E12,claude-code,,high,skill,2,,,,,,,,,,,Provider preflight failed: isolated auth error; default and configured model probes each timed out after 120 seconds with server_error retries. Case was not started.,NOT_RUN,evidence/preflight-2026-09.json
